Model,Step,Training Loss
llama,20,2.715800
llama,40,2.662000
llama,60,2.671600
llama,80,2.629200
llama,100,2.590700
llama,120,2.548200
llama,140,2.508700
llama,160,2.465600
llama,180,2.414100
llama,200,2.393300
llama,220,2.340700
llama,240,2.315000
llama,260,2.274900
llama,280,2.221400
llama,300,2.165600
llama,320,2.125900
llama,340,2.087100
llama,360,2.032900
llama,380,1.981700
llama,400,1.944400
llama,420,1.905100
llama,440,1.847200
llama,460,1.796400
llama,480,1.753700
llama,500,1.720100
llama,520,1.657000
llama,540,1.648500
llama,560,1.600700
llama,580,1.560100
llama,600,1.535200
llama,620,1.523700
llama,640,1.467900
llama,660,1.442500
llama,680,1.407500
llama,700,1.391300
llama,720,1.350000
llama,740,1.339100
llama,760,1.329200
llama,780,1.310500
llama,800,1.279500
llama,820,1.277400
llama,840,1.250900
llama,860,1.247800
llama,880,1.216400
llama,900,1.235700
llama,920,1.215900
llama,940,1.209700
llama,960,1.205000
llama,980,1.190600
llama,1000,1.215900
