Model,Step,Training Loss
phi,Step,Training Loss
phi,20,2.379800
phi,40,2.373000
phi,60,2.335000
phi,80,2.306600
phi,100,2.335500
phi,120,2.276300
phi,140,2.262600
phi,160,2.258000
phi,180,2.184700
phi,200,2.209200
phi,220,2.202700
phi,240,2.169900
phi,260,2.172700
phi,280,2.137500
phi,300,2.132300
phi,320,2.115900
phi,340,2.104600
phi,360,2.085000
phi,380,2.072200
phi,400,2.047400
phi,420,2.059500
phi,440,2.032900
phi,460,2.015400
phi,480,2.013500
phi,500,2.005300
phi,520,1.979700
phi,540,1.986200
phi,560,1.956500
phi,580,1.979000
phi,600,1.938700
phi,620,1.933500
phi,640,1.917000
phi,660,1.909400
phi,680,1.947400
phi,700,1.890200
phi,720,1.885800
phi,740,1.866500
phi,760,1.908100
phi,780,1.883400
phi,800,1.856800
phi,820,1.882200
phi,840,1.861600
phi,860,1.835700
phi,880,1.869800
phi,900,1.819600
phi,920,1.852600
phi,940,1.837200
phi,960,1.822900
phi,980,1.827100
phi,1000,1.806400
