Model,Step,Training Loss
deepseek,Step,Training Loss
deepseek,20,2.765200
deepseek,40,2.728700
deepseek,60,2.743500
deepseek,80,2.719200
deepseek,100,2.689300
deepseek,120,2.666000
deepseek,140,2.637700
deepseek,160,2.610000
deepseek,180,2.558400
deepseek,200,2.548900
deepseek,220,2.512600
deepseek,240,2.502900
deepseek,260,2.473300
deepseek,280,2.434500
deepseek,300,2.391300
deepseek,320,2.365100
deepseek,340,2.337500
deepseek,360,2.292600
deepseek,380,2.257300
deepseek,400,2.223900
deepseek,420,2.198400
deepseek,440,2.147000
deepseek,460,2.112200
deepseek,480,2.073000
deepseek,500,2.051100
deepseek,520,1.999700
deepseek,540,2.001600
deepseek,560,1.958500
deepseek,580,1.927600
deepseek,600,1.915800
deepseek,620,1.905500
deepseek,640,1.859400
deepseek,660,1.839800
deepseek,680,1.807200
deepseek,700,1.805600
deepseek,720,1.761700
deepseek,740,1.756700
deepseek,760,1.750100
deepseek,780,1.735300
deepseek,800,1.713600
deepseek,820,1.698700
deepseek,840,1.680900
deepseek,860,1.679700
deepseek,880,1.658200
deepseek,900,1.674900
deepseek,920,1.658200
deepseek,940,1.649400
deepseek,960,1.659400
deepseek,980,1.638400
deepseek,1000,1.651800
