Model,Step,Training Loss
mistral,Step,Training Loss
mistral,20,0.171100
mistral,40,0.161600
mistral,60,0.157500
mistral,80,0.153500
mistral,100,0.147300
mistral,120,0.141000
mistral,140,0.135000
mistral,160,0.130900
mistral,180,0.125800
mistral,200,0.124600
mistral,220,0.117100
mistral,240,0.117200
mistral,260,0.112600
mistral,280,0.105800
mistral,300,0.105500
mistral,320,0.100300
mistral,340,0.098700
mistral,360,0.093900
mistral,380,0.088800
mistral,400,0.087600
mistral,420,0.085600
mistral,440,0.082900
mistral,460,0.083200
mistral,480,0.079600
mistral,500,0.079100
mistral,520,0.079500
mistral,540,0.081700
mistral,560,0.082400
mistral,580,0.079200
mistral,600,0.077800
mistral,620,0.079700
mistral,640,0.083000
mistral,660,0.078300
mistral,680,0.079100
mistral,700,0.081500
mistral,720,0.077800
mistral,740,0.078800
mistral,760,0.079600
mistral,780,0.079900
mistral,800,0.078100
mistral,820,0.080600
mistral,840,0.077400
mistral,860,0.080300
mistral,880,0.078700
mistral,900,0.079700
mistral,920,0.079200
mistral,940,0.079900
mistral,960,0.080600
mistral,980,0.078800
mistral,1000,0.081300
